SearchTerm,Journal,Authors,Authors2,Title,Journal2,Abstract,ORCIDS,ISSN,Publication Year,DOI,KeepTitle,KeepAbstract,KeepFullPaper,ModelCategory,Model,Occurrence/Abundance,Datasource,SamplingMethod,PositiveSiteCt,SiteNotes,Lifestage,Location,Scale,Genera,Species,Environmental_Dataset,Temperature,ExplanatoryFactors,MostImportantVariable,Collinearirt,FutureClimProjection,Notes
ANOPHELES SPECIES DISTRIBUTION,J,"Foley, DH; Weitzman, AL; Miller, SE; Faran, ME; Rueda, LM; Wilkerson, RC","Foley, Desmond H.; Weitzman, Anna L.; Miller, Scott E.; Faran, Michael E.; Rueda, Leopoldo M.; Wilkerson, Richard C.",The value of georeferenced collection records for predicting patterns of mosquito species richness and endemism in the Neotropics,ECOLOGICAL ENTOMOLOGY,"1. Determining large-scale distribution patterns for mosquitoes could advance knowledge of global mosquito biogeography and inform decisions about where mosquito inventory needs are greatest. 2. Over 43 000 georeferenced records are presented of identified and vouchered mosquitoes from collections undertaken between 1899 and 1982, from 1853 locations in 42 countries throughout the Neotropics. Of 492 species in the data set, 23% were only recorded from one location, and Anopheles albimanus Wiedemann is the most common species. 3. A linear log-log species-area relationship was found for mosquito species number and country area. Chile had the lowest relative density of species and Trinidad-Tobago the highest, followed by Panama and French Guiana. 4. The potential distribution of species was predicted using an Ecological Niche Modelling (ENM) approach. Anopheles species had the largest predicted species ranges, whereas species of Deinocerites and Wyeomyia had the smallest. 5. Species richness was estimated for 1 degrees grids and by summing predicted presence of species from ENM. These methods both showed areas of high species richness in French Guiana, Panama, Trinidad-Tobago, and Colombia. Potential hotspots in endemicity included unsampled areas in Panama, French Guiana, Colombia, Belize, Venezuela, and Brazil. 6. Argentina, The Bahamas, Bermuda, Bolivia, Cuba, and Peru were the most under-represented countries in the database compared with known country species occurrence data. Analysis of species accumulation curves suggested patchiness in the distribution of data points, which may affect estimates of species richness. 7. The data set is a first step towards the development of a global-scale repository of georeferenced mosquito collection records.","Foley, Desmond/0000-0001-7525-4601; Miller, Scott/0000-0002-4138-1378",0307-6946,2008,10.1111/j.1365-2311.2007.00927.x,yes,yes,yes,Envelope,Bioclim,Occurrence,"Mosquito Information Magaement Proect, Mosquitoes of Middle America collection",na,1853,,"adults, larvae",North and south America,Regional,Multiple,Multiple genera,WorldClim (C),bioclim,all bioclim,not specified,no discussion of collinearity,no,stacked' models to estimate species richness
AEDES SPECIES DISTRIBUTION MODEL,J,"Trajer, A; Tanczos, B; Hammer, T; Bede-Fazekas, A; Ranvig, KA; Schoffhauzer, J; Padisak, J","Trajer, A.; Tanczos, B.; Hammer, T.; Bede-Fazekas, A.; Ranvig, K. A.; Schoffhauzer, J.; Padisak, J.",THE COMPLEX INVESTIGATION OF THE COLONIZATION POTENTIAL OF AEDES ALBOPICTUS (DIPTERA: CULICIDAE) IN THE SOUTH PANNONIAN ECOREGION,APPLIED ECOLOGY AND ENVIRONMENTAL RESEARCH,"Aedes albopictus is the potential vector of several pathogens. Recently, the South Pannonian ecoregion has been the border of the east Mediterranean established range of the species. We aimed to determine the current range limiting factors, to predict the potential seasonality and to model the future distribution of the mosquito in the Carpathian Basin. Mosquito trapping was performed in the border region. Larvae were collected from local waters. Based on the new and the previously performed collections, we analysed the limiting climatic factors of the occurrence. The calculation of the full ontogeny was based on previously published experimental results. The analysis of the climate of the successful and non-successful trapping sites showed the complex conditionality of the habitat preference of Aedes albopictus. We confirmed the presence of Phlebotomus neglectus in South-western Hungary and of Aedes albopictus in Zagreb. We found that Aedes albopictus can tolerate the climate of the mountainous regions of the Mediterranean where there are relatively cold winters due to high annual precipitation. Both the climate envelope model results and the gained range limiting factors support the hypothesis that the recent climate of Hungary allows the expansion of the mosquito in the Carpathian Basin.","Padisak, Judit/0000-0001-8285-2896",1589-1623,2017,10.15666/aeer/1501_275298,yes,yes,yes,Envelope,climate envelope,Occurrence,"collections, light traps and larval sampling","CDC Miniature Light Trap, fine scale sieve",29,,"adults, larvae","Coatia, Slovenia, Hungary",Regional,Aedes,Ae. albopictus,Climate Explorer of the European Climate Assessment and Data (C),"mean minimum January temperature, January mean temperature","mean minimum January temperature, January mean temperature, sum of the autumn and winter precipitation, mean July precipitation",not specified,did not discuss collinearity,yes,
ANOPHELES SPECIES DISTRIBUTION,J,"Tonnang, HEZ; Kangalawe, RYM; Yanda, PZ","Tonnang, Henri E. Z.; Kangalawe, Richard Y. M.; Yanda, Pius Z.",Predicting and mapping malaria under climate change scenarios: the potential redistribution of malaria vectors in Africa,MALARIA JOURNAL,"Background: Malaria is rampant in Africa and causes untold mortality and morbidity. Vector-borne diseases are climate sensitive and this has raised considerable concern over the implications of climate change on future disease risk. The problem of malaria vectors (Anopheles mosquitoes) shifting from their traditional locations to invade new zones is an important concern. The vision of this study was to exploit the sets of information previously generated by entomologists, e. g. on geographical range of vectors and malaria distribution, to build models that will enable prediction and mapping the potential redistribution of Anopheles mosquitoes in Africa. Methods: The development of the modelling tool was carried out through calibration of CLIMEX parameters. The model helped estimate the potential geographical distribution and seasonal abundance of the species in relation to climatic factors. These included temperature, rainfall and relative humidity, which characterized the living environment for Anopheles mosquitoes. The same parameters were used in determining the ecoclimatic index (EI). The EI values were exported to a GIS package for special analysis and proper mapping of the potential future distribution of Anopheles gambiae and Anophles arabiensis within the African continent under three climate change scenarios. Results: These results have shown that shifts in these species boundaries southward and eastward of Africa may occur rather than jumps into quite different climatic environments. In the absence of adequate control, these predictions are crucial in understanding the possible future geographical range of the vectors and the disease, which could facilitate planning for various adaptation options. Conclusion: Thus, the outputs from this study will be helpful at various levels of decision making, for example, in setting up of an early warning and sustainable strategies for climate change and climate change adaptation for malaria vectors control programmes in Africa.",,,2010,10.1186/1475-2875-9-111,yes,yes,yes,Envelope,CLIMEX,Occurrence,"ARMA/MARA, literature review",na,Not specified,,not specified,Africa,Regional,Anopheles,An. arabiensis and An. gambiae,"Weather station data (C), Climatic Research Unit (C)","Average minimum daily temperture, average maximum daily temperature","Average minimum daily temperture, average maximum daily temperature, average monthly rainfall, average daily relative humidity",Climate best for arabiensis in dry savannah areas; gambiae in wet tropical region,no discussion of collinearity,yes,did projections with future climate change
AEDES SPECIES DISTRIBUTION MODEL,J,"Khormi, HM; Kumar, L","Khormi, Hassan M.; Kumar, Lalit",Climate change and the potential global distribution of Aedes aegypti: spatial modelling using geographical information system and CLIMEX,GEOSPATIAL HEALTH,"We examined the potential added risk posed by global climate change on the dengue vector Aedes aegypti abundance using CLIMEX, a powerful tool for exploring the relationship between the fundamental and realised niche of any species. After calibrating the model using data from several knowledge domains, including geographical distribution records, we estimated potential distributions of the mosquito under current and future potential scenarios. The impact of climate change on its potential distribution was assessed with two global climate models, the CSIRO-Mk3.0 and the MIROC-H, run with two potential, future emission scenarios (A1B and A2) published by the Intergovernmental Panel on Climate Change. We compared today's climate situation with two arbitrarily chosen future time points (2030 and 2070) to see the impact on the worldwide distribution of A. aegypti. The model for the current global climate indicated favourable areas for the mosquito within its known distribution in tropical and subtropical areas. However, even if much of the tropics and subtropics will continue to be suitable, the climatically favourable areas for A. aegypti globally are projected to contract under the future scenarios produced by these models, while currently unfavourable areas, such as inland Australia, the Arabian Peninsula, southern Iran and some parts of North America may become climatically favourable for this mosquito species. The climate models for the Aedes dengue vector presented here should be useful for management purposes as they can be adapted for decision/making regarding allocation of resources for dengue risk toward areas where risk infection remains and away from areas where climatic suitability is likely to decrease in the future.","Kumar, Lalit/0000-0002-9205-756X;",1827-1987,2014,10.4081/gh.2014.29,yes,yes,yes,Envelope,Climex,Occurrence,CDC database; Center for International Earth Science Information Network;,na,Not specified,,not specified,Global,Global,Aedes,Ae. aegypti,CliMond (C),CliMond min/max monthly temperatures,"min/max monthly temperatures, average monthly precipitation, relative humidity",not specified,did not discuss collinearity,yes,did future projections
ANOPHELES SPECIES DISTRIBUTION,J,"Tonnang, HEZ; Tchouassi, DP; Juarez, HS; Igweta, LK; Djouaka, RF","Tonnang, Henri E. Z.; Tchouassi, David P.; Juarez, Henry S.; Igweta, Lilian K.; Djouaka, Rousseau F.",Zoom in at African country level: potential climate induced changes in areas of suitability for survival of malaria vectors,INTERNATIONAL JOURNAL OF HEALTH GEOGRAPHICS,"Background: Predicting anopheles vectors' population densities and boundary shifts is crucial in preparing for malaria risks and unanticipated outbreaks. Although shifts in the distribution and boundaries of the major malaria vectors (Anopheles gambiae s.s. and An. arabiensis) across Africa have been predicted, quantified areas of absolute change in zone of suitability for their survival have not been defined. In this study, we have quantified areas of absolute change conducive for the establishment and survival of these vectors, per African country, under two climate change scenarios and based on our findings, highlight practical measures for effective malaria control in the face of changing climatic patterns. Methods: We developed a model using CLIMEX simulation platform to estimate the potential geographical distribution and seasonal abundance of these malaria vectors in relation to climatic factors (temperature, rainfall and relative humidity). The model yielded an eco-climatic index (EI) describing the total favourable geographical locations for the species. The EI values were classified and exported to a GIS package. Using ArcGIS, the EI shape points were clipped to the extent of Africa and then converted to a raster layer using Inverse Distance Weighted (IDW) interpolation method. Generated maps were then transformed into polygon-based geo-referenced data set and their areas computed and expressed in square kilometers (km(2)). Results: Five classes of EI were derived indicating the level of survivorship of these malaria vectors. The proportion of areas increasing or decreasing in level of survival of these malaria vectors will be more pronounced in eastern and southern African countries than those in western Africa. Angola, Ethiopia, Kenya, Mozambique, Tanzania, South Africa and Zambia appear most likely to be affected in terms of absolute change of malaria vectors suitability zones under the selected climate change scenarios. Conclusion: The potential shifts of these malaria vectors have implications for human exposure to malaria, as recrudescence of the disease is likely to be recorded in several new areas and regions. Therefore, the need to develop, compile and share malaria preventive measures, which can be adapted to different climatic scenarios, remains crucial.","Juarez, Henry/0000-0002-8535-7089",1476-072X,2014,10.1186/1476-072X-13-12,yes,yes,yes,Envelope,CLIMEX,Occurrence,Mapping Malaria Risk in Africa data clearinghouse,na,"2535 occurrence records, but unclear how many of each species",,not specified,Africa,Regional,Anopheles,Anopheles gambiae s.s. and An. arabiensis,"Weather station data (C), Climatic Research Unit (C)",,"temperature, rainfall, relative humidity from Climatic Research Unit",not specified,no discussion of collinearity,yes,graphed gain/loss of suitability by country
ANOPHELES SPECIES DISTRIBUTION,J,"Sinka, ME; Bangs, MJ; Manguin, S; Chareonviriyaphap, T; Patil, AP; Temperley, WH; Gething, PW; Elyazar, IRF; Kabaria, CW; Harbach, RE; Hay, SI","Sinka, Marianne E.; Bangs, Michael J.; Manguin, Sylvie; Chareonviriyaphap, Theeraphap; Patil, Anand P.; Temperley, William H.; Gething, Peter W.; Elyazar, Iqbal R. F.; Kabaria, Caroline W.; Harbach, Ralph E.; Hay, Simon I.","The dominant Anopheles vectors of human malaria in the Asia-Pacific region: occurrence data, distribution maps and bionomic precis",PARASITES & VECTORS,"Background: The final article in a series of three publications examining the global distribution of 41 dominant vector species (DVS) of malaria is presented here. The first publication examined the DVS from the Americas, with the second covering those species present in Africa, Europe and the Middle East. Here we discuss the 19 DVS of the Asian-Pacific region. This region experiences a high diversity of vector species, many occurring sympatrically, which, combined with the occurrence of a high number of species complexes and suspected species complexes, and behavioural plasticity of many of these major vectors, adds a level of entomological complexity not comparable elsewhere globally. To try and untangle the intricacy of the vectors of this region and to increase the effectiveness of vector control interventions, an understanding of the contemporary distribution of each species, combined with a synthesis of the current knowledge of their behaviour and ecology is needed. Results: Expert opinion (EO) range maps, created with the most up-to-date expert knowledge of each DVS distribution, were combined with a contemporary database of occurrence data and a suite of open access, environmental and climatic variables. Using the Boosted Regression Tree (BRT) modelling method, distribution maps of each DVS were produced. The occurrence data were abstracted from the formal, published literature, plus other relevant sources, resulting in the collation of DVS occurrence at 10116 locations across 31 countries, of which 8853 were successfully geo-referenced and 7430 were resolved to spatial areas that could be included in the BRT model. A detailed summary of the information on the bionomics of each species and species complex is also presented. Conclusions: This article concludes a project aimed to establish the contemporary global distribution of the DVS of malaria. The three articles produced are intended as a detailed reference for scientists continuing research into the aspects of taxonomy, biology and ecology relevant to species-specific vector control. This research is particularly relevant to help unravel the complicated taxonomic status, ecology and epidemiology of the vectors of the Asia-Pacific region. All the occurrence data, predictive maps and EO-shape files generated during the production of these publications will be made available in the public domain. We hope that this will encourage data sharing to improve future iterations of the distribution maps.","Hay, Simon I/0000-0002-0611-7272; Manguin, Sylvie/0000-0002-5925-7164; Gething, Peter/0000-0001-6759-5449; Chareonviriyaphap, Theeraphap/0000-0002-7362-5621; Kabaria, Caroline/0000-0002-5641-5243",1756-3305,2011,10.1186/1756-3305-4-89,yes,yes,yes,CTA,Boosted regression tree,Occurrence,literature review,na,"7430 sites total; 424 an aconitus, 496 an annularis, 14 an balabacensis, 872 an barbirostris, 550 an culicifacies, 372 an dirus, 1465 an farauti, 103 an flavirostris, 83 an fluviatilis, 325 an koliensis, 47 an lesteri, 12 an leucosphyrus and an latens, 471 an maculatus group, 445 an minimus, 379 an punctulatus, 568 an sinensis, 261 an stephensi, 410 an subpictus, 133 an sundaicus",,not specified,Asia Pacific Region,Regional,Anopheles,"An. aconitus, An. annularis, An. balabacensis, An. barbirostris, An. culicifacies, An. dirus, An. farauti, An. flavirostris, An. fluviatilis, An. koliensis, An. lesteri, An. leucosphyrus, An. maculatus, An. minimus, An. punctulatus, An. sinensis, An. stephensi, An. subpictus, An. sundaicus","Advanced Very High Resolution Radiometer (C, T, LC), WorldClim (C), Globcover (LC)",LST,"elevation, precipitation, land surface temperature, middle infrared radiation, ndvi, 22 categories of land cover","For An. dirus complex: phase of the annual cycle of LST, and amplitude of the annual cycle of preciptitation.",no discussion of collinearity,no,used fourier transforms on explanatory variables to summarize multitemporal data
ANOPHELES SPECIES DISTRIBUTION,J,"Sinka, ME; Bangs, MJ; Manguin, S; Rubio-Palis, Y; Chareonviriyaphap, T; Coetzee, M; Mbogo, CM; Hemingway, J; Patil, AP; Temperley, WH; Gething, PW; Kabaria, CW; Burkot, TR; Harbach, RE; Hay, SI","Sinka, Marianne E.; Bangs, Michael J.; Manguin, Sylvie; Rubio-Palis, Yasmin; Chareonviriyaphap, Theeraphap; Coetzee, Maureen; Mbogo, Charles M.; Hemingway, Janet; Patil, Anand P.; Temperley, William H.; Gething, Peter W.; Kabaria, Caroline W.; Burkot, Thomas R.; Harbach, Ralph E.; Hay, Simon I.",A global map of dominant malaria vectors,PARASITES & VECTORS,"Background: Global maps, in particular those based on vector distributions, have long been used to help visualise the global extent of malaria. Few, however, have been created with the support of a comprehensive and extensive evidence-based approach. Methods: Here we describe the generation of a global map of the dominant vector species (DVS) of malaria that makes use of predicted distribution maps for individual species or species complexes. Results: Our global map highlights the spatial variability in the complexity of the vector situation. In Africa, An. gambiae, An. arabiensis and An. funestus are co-dominant across much of the continent, whereas in the Asian-Pacific region there is a highly complex situation with multi-species coexistence and variable species dominance. Conclusions: The competence of the mapping methodology to accurately portray DVS distributions is discussed. The comprehensive and contemporary database of species-specific spatial occurrence (currently available on request) will be made directly available via the Malaria Atlas Project (MAP) website from early 2012.","Manguin, Sylvie/0000-0002-5925-7164; Hay, Simon I/0000-0002-0611-7272; Coetzee, Maureen/0000-0003-2019-866X; Hemingway, Janet/0000-0002-3200-7173; Gething, Peter/0000-0001-6759-5449; Chareonviriyaphap, Theeraphap/0000-0002-7362-5621; Kabaria, Caroline/0000-0002-5641-5243",1756-3305,2012,10.1186/1756-3305-5-69,yes,yes,yes,CTA,Boosted regression tree,occurrence,Literature review,na,15837,,not specified,Global,Global,Anopheles,"An. freeborni, An. pseudopunctipennis, An. quadrimaculatus, An. albimanus, An. albitarsis, An. aquasalis, An. darlingi, An. marajoara, An. nuneztovari, An. atroparvus, An. labranchiae, An. messeae, An. sacharovi, An. sergentii, An. superpictus, An. arabiensis, An. funestus, An. gambiae, An. melas, An. merus, An. moucheti, An. nili, An. barbirostris, An. lesteri, An. sinensis, An. aconitus, An. annularis, An. balabacensis, An. culicifacies, An. dirus, An. farauti, An. flavirostris, An. fluviatilis, An. koliensis, An. leucosphyrus, An. maculatus, An. minimus, An. punctulatus, An. stephensi, An. subpictus, An. sundaicus","Advanced Very High Resolution Radiometer (C, T, LC), WorldClim (C), Globcover (LC)",Not specified,not specified,not specified,no,no,Did not discribe input covariates
AEDES SPECIES DISTRIBUTION MODEL,J,"Kraemer, MUG; Sinka, ME; Duda, KA; Mylne, AQN; Shearer, FM; Barker, CM; Moore, CG; Carvalho, RG; Coelho, GE; Van Bortel, W; Hendrickx, G; Schaffner, F; Elyazar, IRF; Teng, HJ; Brady, OJ; Messina, JP; Pigott, DM; Scott, TW; Smith, DL; Wint, GRW; Golding, N; Hay, SI","Kraemer, Moritz U. G.; Sinka, Marianne E.; Duda, Kirsten A.; Mylne, Adrian Q. N.; Shearer, Freya M.; Barker, Christopher M.; Moore, Chester G.; Carvalho, Roberta G.; Coelho, Giovanini E.; Van Bortel, Wim; Hendrickx, Guy; Schaffner, Francis; Elyazar, Iqbal R. F.; Teng, Hwa-Jen; Brady, Oliver J.; Messina, Jane P.; Pigott, David M.; Scott, Thomas W.; Smith, David L.; Wint, G. R. William; Golding, Nick; Hay, Simon I.",The global distribution of the arbovirus vectors Aedes aegypti and Ae. albopictus,ELIFE,"Dengue and chikungunya are increasing global public health concerns due to their rapid geographical spread and increasing disease burden. Knowledge of the contemporary distribution of their shared vectors, Aedes aegypti and Aedes albopictus remains incomplete and is complicated by an ongoing range expansion fuelled by increased global trade and travel. Mapping the global distribution of these vectors and the geographical determinants of their ranges is essential for public health planning. Here we compile the largest contemporary database for both species and pair it with relevant environmental variables predicting their global distribution. We show Aedes distributions to be the widest ever recorded; now extensive in all continents, including North America and Europe. These maps will help define the spatial limits of current autochthonous transmission of dengue and chikungunya viruses. It is only with this kind of rigorous entomological baseline that we can hope to project future health impacts of these viruses.","Barker, Christopher/0000-0002-7941-346X; Smith, David L/0000-0003-4367-3849; Brady, Oliver/0000-0002-3235-2129; Hay, Simon I/0000-0002-0611-7272; Wint, William/0000-0003-0916-0847; Schaffner, Francis/0000-0001-9166-7617; Pigott, David/0000-0002-6731-4034; Van Bortel, Wim/0000-0002-6644-518X; Golding, Nick/0000-0001-8916-5570",2050-084X,2015,10.7554/eLife.08347,yes,yes,yes,CTA,BRT,Occurrence,literature review; national surveillance data,na,19930 ae aegypti; 22137 ae albopictus,,"adults, pupae, larvae, eggs",Global,Global,Aedes,"Ae. aegypti, Ae. albopictus","WorldClim (C), MODIS (LC), GRUMP (LC)",temperature as a binary mask and as a temperature suitability index,"EVI, max and minimum annual precipitation; urbanization",temperature suitability most important for both species,used penalized forward stepwise search and cross-validation method,no,used other aedes species as negative points to consider sampling bias
ANOPHELES SPECIES DISTRIBUTION,J,"Luhken, R; Czajka, C; Steinke, S; Jost, H; Schmidt-Chanasit, J; Pfitzner, W; Becker, N; Kiel, E; Kruger, A; Tannich, E","Luehken, R.; Czajka, C.; Steinke, S.; Joest, H.; Schmidt-Chanasit, J.; Pfitzner, W.; Becker, N.; Kiel, E.; Krueger, A.; Tannich, E.",Distribution of individual members of the mosquito Anopheles maculipennis complex in Germany identified by newly developed real-time PCR assays,MEDICAL AND VETERINARY ENTOMOLOGY,"Owing to their role as vectors of malaria parasites, species of the Anopheles maculipennis complex (Diptera: Culicidae) Meigen were intensively studied in the past, but with the disappearance of malaria in Germany in the middle of the last century, the interest in this field of research declined. A comprehensive ecological analysis of the current species distribution for Germany is lacking. Between 2010 and 2013, a total of 1445 mosquitoes of the An. maculipennis complex were collected at 72 different sites in Germany. The samples comprise 722 single individuals as well as 723 individuals in 90 pools of up to 25 mosquitoes. All samples were analysed with newly developed species-specific qPCR assays for the identification of the four German species using nucleotide differences within the internal transcribed spacer 2 (ITS2) ribosomal DNA. All gathered data were used for species distribution modelling. The overall prevalence of An. messeae s.l. was highest with 98.89% of all pools; An. daciae with 6.93% of all individuals and An. messeae s.s. with 69.53%. The prevalence of the other two species was relatively low: An. maculipennis s.s. with 13.30% of all individuals (6.67% of all pools) and An. atroparvus with 1.80% of all individuals (1.11% of all pools).","Luhken, Renke/0000-0002-1984-839X",0269-283X,2016,10.1111/mve.12161,yes,yes,yes,CTA,random forest,Occurrence,adult sampling,"CO2 suction traps (Biogents Sentinal trap, Heavy Duty Encephalitis Vector Survey trap); gravid traps, larval sampling.",72,,"adults, larvae",Germany,National,Anopheles,"An. maculipennis, Anopheles messeae and Anopheles atroparvus, the newly described sibling species Anopheles daciae","WorldClim (C), European Environment Agency (LC)","annual mean temperature, max temperature of warmest month, min temperature of coldest month bioclim","land cover proportion within 2000 m buffer; altitude, annual mean temperature, max temperature of warmest month, min temperature of coldest month, annual precipitation","an atroparvus increased with decreasing maximum temperature of warmest, but with increased with min temp of coldest; maculipennis positively correlated with annual mean temp; an messeae had negative correlation with max temp, altitude; an dacie opposite of messeae",no discussion of collinearity,no,
ANOPHELES SPECIES DISTRIBUTION,J,"Moyes, CL; Shearer, FM; Huang, Z; Wiebe, A; Gibson, HS; Nijman, V; Mohd-Azlan, J; Brodie, JF; Malaivijitnond, S; Linkie, M; Samejima, H; O'Brien, TG; Trainor, CR; Hamada, Y; Giordano, AJ; Kinnaird, MF; Elyazar, IRF; Sinka, ME; Vythilingam, I; Bangs, MJ; Pigott, DM; Weiss, DJ; Golding, N; Hay, SI","Moyes, Catherine L.; Shearer, Freya M.; Huang, Zhi; Wiebe, Antoinette; Gibson, Harry S.; Nijman, Vincent; Mohd-Azlan, Jayasilan; Brodie, Jedediah F.; Malaivijitnond, Suchinda; Linkie, Matthew; Samejima, Hiromitsu; O'Brien, Timothy G.; Trainor, Colin R.; Hamada, Yuzuru; Giordano, Anthony J.; Kinnaird, Margaret F.; Elyazar, Iqbal R. F.; Sinka, Marianne E.; Vythilingam, Indra; Bangs, Michael J.; Pigott, David M.; Weiss, Daniel J.; Golding, Nick; Hay, Simon I.",Predicting the geographical distributions of the macaque hosts and mosquito vectors of Plasmodium knowlesi malaria in forested and non-forested areas,PARASITES & VECTORS,"Background: Plasmodium knowlesi is a zoonotic pathogen, transmitted among macaques and to humans by anopheline mosquitoes. Information on P. knowlesi malaria is lacking in most regions so the first step to understand the geographical distribution of disease risk is to define the distributions of the reservoir and vector species. Methods: We used macaque and mosquito species presence data, background data that captured sampling bias in the presence data, a boosted regression tree model and environmental datasets, including annual data for land classes, to predict the distributions of each vector and host species. We then compared the predicted distribution of each species with cover of each land class. Results: Fine-scale distribution maps were generated for three macaque host species (Macaca fascicularis, M. nemestrina and M. leonina) and two mosquito vector complexes (the Dirus Complex and the Leucosphyrus Complex). The Leucosphyrus Complex was predicted to occur in areas with disturbed, but not intact, forest cover (> 60 % tree cover) whereas the Dirus Complex was predicted to occur in areas with 10-100 % tree cover as well as vegetation mosaics and cropland. Of the macaque species, M. nemestrina was mainly predicted to occur in forested areas whereas M. fascicularis was predicted to occur in vegetation mosaics, cropland, wetland and urban areas in addition to forested areas. Conclusions: The predicted M. fascicularis distribution encompassed a wide range of habitats where humans are found. This is of most significance in the northern part of its range where members of the Dirus Complex are the main P. knowlesi vectors because these mosquitoes were also predicted to occur in a wider range of habitats. Our results support the hypothesis that conversion of intact forest into disturbed forest (for example plantations or timber concessions), or the creation of vegetation mosaics, will increase the probability that members of the Leucosphyrus Complex occur at these locations, as well as bringing humans into these areas. An explicit analysis of disease risk itself using infection data is required to explore this further. The species distributions generated here can now be included in future analyses of P. knowlesi infection risk.","Mohd-Azlan, Jayasilan/0000-0001-5513-6237; Hay, Simon I/0000-0002-0611-7272; Moyes, Catherine/0000-0002-8028-4079; Golding, Nick/0000-0001-8916-5570; Gibson, Harry/0000-0001-6779-3250",1756-3305,2016,10.1186/s13071-016-1527-0,yes,yes,yes,CTA,Boosted regression tree,Occurrence,literature review,na,545 Dirus complex; 107 An. Dirus; 49 Leucosphyrus complex,,not specified,SE Asia,Regional,Anopheles,"Anopheles dirus; Dirus complex, Leucosphyrus complex, Leucosphyrus group","MODIS (C, LC), Shuttle Radar Topography Mission (T)",Land surface temperature,"EVI, LST, tasseled cap wetness, tasseled cap brightness, proportion land cover classes, elevation, proportion in tact forest cover, proporion disturbed forest cover, human population density",not specified,no discussion of collinearity,no,also modelled macaques
